gameID,teamID,season,goals,goals_percent,shots,shotsOnTarget,fouls,corners,yellowCards,redCards,result
229,86,2015,2,64.63,6,1,6,2,3,0,W
229,87,2015,0,99.9,10,1,10,7,1,0,L
230,72,2015,1,169.77,19,4,4,13,1,0,D
230,78,2015,1,119.05,14,5,11,6,2,0,D
231,79,2015,1,149.28,9,2,9,5,1,0,D
231,72,2015,1,243.56,15,3,6,4,0,0,D
232,88,2015,2,134.34,13,5,13,5,3,0,W
232,84,2015,1,96.28,13,7,15,5,1,0,L
233,77,2015,0,87.95,14,2,6,8,1,0,L
233,90,2015,1,205.62,13,8,9,3,0,0,W
234,78,2015,1,131.18,12,5,11,8,0,0,W
234,74,2015,0,89.04,15,3,13,5,0,0,L
235,81,2015,0,113.18,24,10,7,11,1,0,D
235,85,2015,0,187.24,12,3,9,7,2,0,D
236,73,2015,2,105.03,11,5,12,5,2,0,W
236,89,2015,1,196.77,11,5,12,7,1,0,L
237,71,2015,0,100.88,18,2,8,5,0,0,L
237,83,2015,2,168.5,8,4,7,5,0,0,W
238,87,2015,2,212.58,28,8,7,4,0,0,D
238,76,2015,2,83.59,4,2,10,4,0,0,D
239,82,2015,1,103.32,20,8,13,6,2,0,L
239,86,2015,2,155.25,8,4,14,2,2,0,W
240,75,2015,2,70.88,9,5,16,1,2,0,W
240,80,2015,1,226.89,11,4,8,8,0,0,L
241,76,2015,1,69.83,7,2,12,4,2,2,L
241,73,2015,2,189.18,16,6,9,8,1,0,W
242,74,2015,0,83.39,11,4,18,4,1,0,L
242,82,2015,2,147.45,12,5,9,7,1,0,W
243,85,2015,1,241.5,26,5,6,7,2,0,L
243,78,2015,2,195.35,12,3,12,3,0,0,W
244,80,2015,3,302.02,17,7,12,2,1,0,W
244,77,2015,1,123.57,11,3,12,2,3,0,L
245,72,2015,2,148.98,13,5,6,10,2,0,L
245,75,2015,3,202.91,10,5,14,2,1,0,W
246,89,2015,1,101.39,11,2,4,11,0,0,L
246,79,2015,2,55.69,6,4,10,0,2,0,W
247,86,2015,1,128.19,8,4,9,3,1,0,D
247,71,2015,1,40.44,10,7,14,7,3,0,D
248,90,2015,3,199.34,6,5,6,7,1,0,W
248,87,2015,0,37.63,12,4,9,9,0,0,L
249,84,2015,0,97.34,22,2,6,8,0,0,D
249,81,2015,0,40.2,11,2,9,9,1,0,D
250,83,2015,2,150.11,8,5,5,4,0,0,W
250,88,2015,1,76.94,20,6,16,8,2,0,L
251,85,2015,2,118.21,13,3,13,1,1,0,W
251,89,2015,0,128.96,11,6,16,12,2,0,L
252,84,2015,1,121.24,7,2,10,0,1,0,W
252,76,2015,0,55.46,9,3,13,7,3,0,L
253,82,2015,3,240.67,15,10,4,9,1,0,W
253,79,2015,0,45.2,11,3,13,4,2,0,L
254,71,2015,1,161.24,15,8,14,9,3,0,D
254,81,2015,1,83.6,10,4,13,6,3,0,D
255,73,2015,0,87.14,10,4,10,8,1,0,D
255,78,2015,0,40.52,8,1,13,9,0,0,D
256,80,2015,2,209.36,17,2,7,9,1,0,D
256,90,2015,2,166.7,12,2,15,4,4,0,D
257,87,2015,1,137.93,26,5,11,7,2,0,W
257,75,2015,0,50.52,7,3,8,6,1,0,L
258,88,2015,4,351.85,19,9,10,5,1,0,W
258,77,2015,1,108.1,11,3,11,1,1,0,L
259,86,2015,0,135.71,10,1,16,1,2,0,L
259,72,2015,1,169.92,20,7,12,7,2,0,W
260,74,2015,4,243.03,14,5,10,3,1,0,W
260,83,2015,0,83.11,8,5,9,4,0,0,L
261,76,2015,1,210.39,22,5,7,18,0,0,W
261,86,2015,0,45.62,7,2,13,6,0,0,L
262,90,2015,1,113.01,9,1,11,5,4,1,L
262,82,2015,2,52.72,10,3,13,3,2,0,W
263,79,2015,2,110.32,9,4,10,3,2,0,W
263,71,2015,0,23.59,6,3,21,7,5,0,L
264,78,2015,0,73.52,10,2,11,7,3,0,D
264,84,2015,0,16.94,5,3,16,4,2,0,D
265,72,2015,3,224.72,15,3,10,6,2,0,L
265,85,2015,4,158.16,8,5,12,2,1,0,W
266,83,2015,2,312.96,13,6,7,9,2,0,W
266,73,2015,0,34.38,10,3,8,3,0,0,L
267,89,2015,0,135.21,12,2,16,5,4,0,D
267,80,2015,0,90,8,3,6,3,2,0,D
268,81,2015,2,179.56,13,5,6,4,1,0,W
268,74,2015,1,137.09,14,3,12,7,3,0,L
269,75,2015,0,81.04,11,4,11,1,1,0,D
269,88,2015,0,166.78,21,5,8,13,3,0,D
270,77,2015,0,48.16,8,3,8,6,1,0,L
270,87,2015,1,180.74,17,6,16,4,3,0,W
271,81,2015,2,206.74,18,10,11,3,1,0,W
271,87,2015,0,186.59,23,2,8,9,1,0,L
272,76,2015,2,172.32,17,5,7,4,1,0,W
272,85,2015,1,91.75,10,3,15,6,1,1,L
273,83,2015,1,193.03,15,3,10,7,2,0,W
273,86,2015,0,115.34,15,6,9,4,2,0,L
274,75,2015,0,228.51,16,2,9,7,1,0,D
274,73,2015,0,125.93,9,0,5,1,1,1,D
275,89,2015,2,174.27,19,6,14,4,2,0,W
275,84,2015,1,54.29,9,4,10,2,1,0,L
276,79,2015,1,150.51,10,1,9,4,1,0,W
276,74,2015,0,93.23,10,4,7,9,0,1,L
277,77,2015,3,76.12,13,5,8,3,3,0,W
277,71,2015,1,27.96,8,3,13,3,4,0,L
278,90,2015,1,98.54,12,4,6,4,1,0,L
278,88,2015,2,69.21,16,5,10,5,0,0,W
279,78,2015,0,54.65,8,4,12,5,3,0,L
279,80,2015,3,237.47,10,4,15,7,0,0,W
280,72,2015,1,72.16,12,3,8,4,1,0,D
280,82,2015,1,75.91,19,4,11,4,2,0,D
281,86,2015,3,181.3,14,6,10,5,1,0,D
281,89,2015,3,236.22,12,4,12,3,3,0,D
282,71,2015,1,55.2,13,3,15,9,2,0,W
282,78,2015,0,54.79,9,1,9,0,1,0,L
283,73,2015,1,72.95,11,4,8,4,1,0,L
283,81,2015,3,118.46,10,5,5,7,1,0,W
284,74,2015,2,172.24,15,7,9,8,1,0,W
284,90,2015,0,11.54,4,1,11,1,2,0,L
285,85,2015,3,124.46,14,4,5,7,0,0,W
285,79,2015,1,19.37,5,2,8,3,1,1,L
286,84,2015,2,106.53,10,5,9,8,2,1,L
286,77,2015,4,249.06,7,4,12,6,0,0,W
287,80,2015,2,138.53,14,2,13,7,3,0,D
287,76,2015,2,70.43,13,5,8,7,3,0,D
288,88,2015,0,144.96,22,5,5,12,0,0,D
288,72,2015,0,36.95,7,2,6,5,1,0,D
289,87,2015,3,116.22,22,6,9,9,2,0,D
289,83,2015,3,222.91,14,5,7,3,0,0,D
290,82,2015,0,123.01,21,5,13,16,1,0,L
290,75,2015,1,58.87,10,2,10,8,0,0,W
291,82,2015,4,202.58,26,11,8,11,0,0,W
291,77,2015,1,61.73,5,2,13,3,2,0,L
292,88,2015,4,174.03,17,4,10,5,0,0,W
292,78,2015,0,61.33,9,3,11,6,2,0,L
293,86,2015,2,184.26,23,10,9,3,1,0,W
293,81,2015,1,108.25,10,3,4,3,0,0,L
294,74,2015,3,142.62,9,5,10,1,0,0,W
294,76,2015,0,41.08,10,0,11,3,0,0,L
295,80,2015,3,244.86,14,7,12,6,1,0,D
295,72,2015,3,158.91,9,4,5,4,1,0,D
296,73,2015,3,253.09,15,7,8,5,1,0,W
296,79,2015,0,59.55,10,3,13,3,1,0,L
297,71,2015,1,66.54,14,5,13,3,3,0,D
297,75,2015,1,221.53,12,5,15,4,2,0,D
298,87,2015,0,95.3,19,4,6,5,0,0,L
298,89,2015,1,71.57,7,1,18,4,2,0,W
299,85,2015,0,54.69,14,6,16,6,0,0,D
299,83,2015,0,58.58,8,3,10,6,0,0,D
300,84,2015,1,47.4,10,2,8,6,2,0,W
300,90,2015,0,52.55,13,2,11,3,2,0,L
301,79,2015,4,103.43,6,5,10,3,0,0,L
301,87,2015,5,144.94,13,7,14,3,1,0,W
302,78,2015,1,93.08,11,3,11,3,2,0,L
302,82,2015,3,174.37,24,11,12,10,2,0,W
303,89,2015,0,18.72,8,1,11,4,0,0,L
303,74,2015,1,83.59,7,2,8,4,0,0,W
304,75,2015,3,225.91,15,5,10,8,0,0,W
304,85,2015,0,34.05,3,2,13,4,1,0,L
305,76,2015,0,23.18,4,0,7,2,0,0,D
305,71,2015,0,56.25,15,4,13,6,1,0,D
306,77,2015,1,61.21,10,5,5,3,1,0,D
306,73,2015,1,126.85,15,5,9,4,1,0,D
307,90,2015,2,258.71,13,5,10,2,2,0,W
307,86,2015,1,129.27,11,2,12,7,1,0,L
308,81,2015,2,101.27,10,3,11,5,2,0,D
308,88,2015,2,173.18,16,3,15,2,3,0,D
309,72,2015,1,194.09,20,2,5,7,0,0,L
309,84,2015,2,108.06,7,5,12,1,3,0,W
310,83,2015,0,110.91,9,1,14,6,1,1,L
310,80,2015,1,148.78,12,6,13,7,3,0,W
311,83,2015,0,338.49,22,11,11,13,2,0,D
311,74,2015,0,93.41,14,3,19,3,1,0,D
312,75,2015,2,134.57,13,6,6,3,0,0,W
312,87,2015,0,58.08,14,1,7,12,1,0,L
313,79,2015,0,92.93,11,3,8,6,2,0,L
313,82,2015,3,275.47,17,6,9,8,2,0,W
314,77,2015,0,88.84,11,3,6,8,1,0,L
314,88,2015,1,63.85,7,2,15,4,4,0,W
315,81,2015,2,234.62,25,6,9,5,3,0,W
